id,description,dataset,category,subcategory,region,delay,universe,type,coverage,userCount,alphaCount,pyramidMultiplier,themes,dataset_id,dataset_name,category_id,category_name,subcategory_id,subcategory_name
insd8_absolute_weight_decile_rank_long,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8515,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
insd8_absolute_weight_decile_rank_short,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8392,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
insd8_active_weight_decile_rank_long,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8515,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
insd8_active_weight_decile_rank_short,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8392,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
insd8_black_litterman_implied_active_return_decile_rank_long,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8515,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
insd8_black_litterman_implied_active_return_decile_rank_short,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8392,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
insd8_effective_number_of_owners_decile_rank_long,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8515,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
insd8_effective_number_of_owners_decile_rank_short,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8392,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
insd8_total_number_of_owners_decile_rank_long,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8515,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
insd8_total_number_of_owners_decile_rank_short,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8392,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
insd8_weight_long,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8515,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
insd8_weight_net,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8654,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
insd8_weight_short,No field description,"{'id': 'insiders8', 'name': 'Imbalance2'}","{'id': 'insiders', 'name': 'Insiders'}","{'id': 'insiders-insider-data', 'name': 'Insider Data'}",EUR,1,TOPCS1600,MATRIX,0.8392,0,0,1.1,[],insiders8,Imbalance2,insiders,Insiders,insiders-insider-data,Insider Data
